User Id,Username,Fullname,Followed by you,Is verified,Profile URL,Avatar URL
63003540209,agricolie.officiel,Gouvernement Agricolien,YES,NO,https://www.instagram.com/agricolie.officiel,https://scontent-cdg4-1.cdninstagram.com/v/t51.2885-19/404261398_891104929311134_1243761183845198272_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-cdg4-1.cdninstagram.com&_nc_cat=102&_nc_ohc=k_WLt3XSpLkAX_XzrRE&edm=AOG-cTkBAAAA&ccb=7-5&oh=00_AfBxgoldjgLy1oGzVATHcpK8sr_HwBhTCJsEB-oE_83Xfw&oe=6595B541&_nc_sid=17ea04
60129843644,den._is5,Denis🪮,YES,NO,https://www.instagram.com/den._is5,https://scontent-cdg4-3.cdninstagram.com/v/t51.2885-19/412714620_1525868911582674_4726625236804082629_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-cdg4-3.cdninstagram.com&_nc_cat=106&_nc_ohc=Y37UBqXqw-kAX_lsC3S&edm=AOG-cTkBAAAA&ccb=7-5&oh=00_AfDtoLTj1K2JlO752FRgxBBXxHUQMw2g-NfmYqYc55bvhA&oe=6595D985&_nc_sid=17ea04
50899260692,julia.dud1,Ju',YES,NO,https://www.instagram.com/julia.dud1,https://scontent-cdg4-2.cdninstagram.com/v/t51.2885-19/408824489_738249974302423_8925393094883784858_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-cdg4-2.cdninstagram.com&_nc_cat=107&_nc_ohc=NaHIQ3Lz_QsAX-WPG8y&edm=AOG-cTkBAAAA&ccb=7-5&oh=00_AfCYbwliPBei2TVL7lIlcy3onyGfg6qz6gOkfHPw1LhR7w&oe=65962888&_nc_sid=17ea04
62789267877,dinamicystore,Home Decoration,NO,NO,https://www.instagram.com/dinamicystore,https://scontent-cdg4-3.cdninstagram.com/v/t51.2885-19/399559047_322469903850803_3939199704430429149_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-cdg4-3.cdninstagram.com&_nc_cat=111&_nc_ohc=_4ZfRvwNcxoAX_pVPt1&edm=AOG-cTkBAAAA&ccb=7-5&oh=00_AfC00ky1-O3M0QAt8IlnkIjy2sYvtFWNBvDdbiV1VZHCcg&oe=659729B0&_nc_sid=17ea04
45094634908,tomorrowssidewalk,,NO,NO,https://www.instagram.com/tomorrowssidewalk,https://scontent-cdg4-2.cdninstagram.com/v/t51.2885-19/372712105_625787832740628_6019289962951382765_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-cdg4-2.cdninstagram.com&_nc_cat=100&_nc_ohc=NgUxWvYEp1cAX_kKI33&edm=AOG-cTkBAAAA&ccb=7-5&oh=00_AfAfMXoj8tndKTEboNfBtas1vYmIvNEmn4ZJLS3Zb6YS5Q&oe=6596E4D2&_nc_sid=17ea04
11652447373,jxste.luiza,L’🇩🇿,YES,NO,https://www.instagram.com/jxste.luiza,https://scontent-lhr8-2.cdninstagram.com/v/t51.2885-19/44884218_345707102882519_2446069589734326272_n.jpg?_nc_ht=scontent-lhr8-2.cdninstagram.com&_nc_cat=1&_nc_ohc=vQXqblFcOWwAX-vkOVr&edm=AJ9x6zYBAAAA&ccb=7-5&ig_cache_key=YW5vbnltb3VzX3Byb2ZpbGVfcGlj.2-ccb7-5&oh=00_AfDWBoJqpGhgve4XnsRkk5JbPq7fhZ21CkJYsT51UdzBZQ&oe=6596BD4F&_nc_sid=65462d
62237681780,jean_le_crabe,jean,YES,NO,https://www.instagram.com/jean_le_crabe,https://scontent-cdg4-1.cdninstagram.com/v/t51.2885-19/393408595_1045190906616545_3156048880318493382_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-cdg4-1.cdninstagram.com&_nc_cat=105&_nc_ohc=SryUf0Oa90oAX-U67q-&edm=AOG-cTkBAAAA&ccb=7-5&oh=00_AfApQR_ZW6pcjZrG51ZDPOrju94aCw5IbhyYEc9IuMkCpQ&oe=6595DF9C&_nc_sid=17ea04
62346229362,jean.le.crabe,Jean,YES,NO,https://www.instagram.com/jean.le.crabe,https://scontent-cdg4-1.cdninstagram.com/v/t51.2885-19/392959819_823218179554700_5385407886263154669_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-cdg4-1.cdninstagram.com&_nc_cat=108&_nc_ohc=HUkPVm32Sp4AX8pQc6r&edm=AOG-cTkBAAAA&ccb=7-5&oh=00_AfCl746DJWzivxv3_R3vkIWtJ5-aZ0yk5jWPbqp2RU63ag&oe=659724D3&_nc_sid=17ea04
50481058856,ninihxh,ninihxh,YES,NO,https://www.instagram.com/ninihxh,https://scontent-cdg4-1.cdninstagram.com/v/t51.2885-19/402417275_356039743625002_8735804812139928537_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-cdg4-1.cdninstagram.com&_nc_cat=110&_nc_ohc=b1dYM60JkvIAX-o68j9&edm=AOG-cTkBAAAA&ccb=7-5&oh=00_AfD82FefUyMa0AHpelf4UnWP86TWqPA7jiKVzeJWrB1lxQ&oe=659666CD&_nc_sid=17ea04
51088392078,ilyess1204,Ilyess,YES,NO,https://www.instagram.com/ilyess1204,https://scontent-cdg4-2.cdninstagram.com/v/t51.2885-19/334508706_758987158883907_881576572395110919_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-cdg4-2.cdninstagram.com&_nc_cat=103&_nc_ohc=swxVQTimONQAX-KqB8D&edm=AOG-cTkBAAAA&ccb=7-5&oh=00_AfC2p0FZcYDVnzjP2zkB9bp7Tn28UVnFFi4u9rxGK36CNw&oe=6596C497&_nc_sid=17ea04
